"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Оформление заказов","1","0","Заказ товаров одного бренда","0"
"0","","0","Оформление заказов","1","0","Заказ товаров нескольких брендов","0"
